Year,Post_Position,WinnersatPost_last49yrs,ITM,Starters,ITM%atPost_last49yrs,Horse,Morning _Line,Derby_Points,Trainer,Jockey,Last_Beyer  ,Second_Beyer,Third_back_Beyer,Sire,Dam,Dams_Sire,Tomlinson_DST,Tomlinson_Wet,BRIS_Pace, AWD_Sire, AWD_Dams_Sire,LastPrep_Finish,Dosage_Index
2019,1,1,6,47,13%,War of Will,15-1,60,Casse,Gaffalione,78,90,94,War Front,Visions of Clarity,Sadler's Wells,370,329,117,7.3,10.7,"9th, Louisiana Derby",1.72
2019,2,4,12,49,24%,Tax,20-1,52,Gargan,Alvarado,95,96,93,Arch,Toll,Giant's Causeway,338,405,116,7.9,8.1,"2nd, Wood Memorial",1.56
2019,3,4,11,49,22%,By My Standards,15-1,100,Calhoun,G Saez,97,86,73,Goldencents,A Jealous Woman,Muqtarib,252,292,104,6.3,5.8,"1st, Louisiana Derby",3
2019,4,6,9,49,18%,Gray Magician,50-1,41,Miller,Van Dyke,NA,80,73,Graydar,Burg Berg,Johannesburg,227,393,105,6.7,7,"2nd, UAE Derby",5
2019,5,6,13,49,27%,Improbable,1-May,65,Baffert,I Ortiz Jr,99,95,96,City Zip,Rare Event,A.P. Indy,308,443,112,6.5,8.2,"2nd, Arkansas Derby",4.23
2019,6,1,5,49,10%,Vekoma,15-1,110,Weaver,Castellano,94,90,97,Candy Ride,Mona de Momma,Speightstown,314,469,114,7.1,6.5,"1st, Blue Grass Stakes",2.56
2019,7,3,5,49,10%,Maximum Security,1-Aug,100,Servis,L Saez,101,102,83,New Year's Day,Lil Indy,Anasheed,267,319,105,6.7,7.7,"1st, Florida Derby",3
2019,8,4,11,49,22%,Tacitus,1-Aug,150,Mott,Ortiz,97,93,75,Tapit ,Close Hatches,First Defence,289,432,118,7.6,6.9,"1st, Wood Memorial",3.31
2019,9,1,5,49,10%,Plus Que Parfait,30-1,100,Walsh,Santana Jr,NA,58,83,Point of Entry,Belvedera,Awesome Again,329,308,112,7.3,7.4,"1st, UAE Derby",2.47
2019,10,7,16,48,33%,Cutting Humor,30-1,50,Pletcher,ME Smith,95,76,85,First Samurai,Pun,Pulpit,244,391,111,6.8,7.5,"1st, Sunland Derby",2.11
2019,11,1,6,47,13%,Haikal,SCR,70,McLaughlin,Maragh,91,95,84,Daaher,Sablah,Distorted Humor,314,441,108,6.9,7.1,"3rd, Wood Memorial",3
2019,12,1,5,46,11%,Omaha Beach,SCR,137.5,Mandella,,101,96,90,War Front,Charming,Seeking the Gold,339,368,119,7.3,7.3,"1st, Arkansas Derby",2.69
2019,13,2,11,46,24%,Code of Honor,1-Dec,74,McGaughey,JR Velazquez,91,95,77,Noble Mission,Reunited,Dixie Union,267,313,107,7.4,6.9,"3rd, Florida Derby",0.76
2019,14,0,5,42,12%,Win Win Win,1-Dec,50,Trombetta,Pimental,88,89,99,Hat Trick,Smarty Pants,Smarty Jones,291,341,106,7.2,7.1,"2nd, Blue Grass",4.5
2019,15,4,7,41,17%,Master Fencer (JPN),50-1,NA,Tsunoda,Leparoux,NA,NA,NA,Just a Way,Sexy Zamurai,Deputy Minister,289,310,110,8.6,7.6,"2nd, Fukuryu",2.5
2019,16,4,8,36,0%,Game Winner,2-Sep,85,Baffert,Rosario,97,96,93,Candy Ride,Indyan Giving,A.P. Indy,324,461,116,7.1,8.2,"2nd, Santa Anita Derby",2.33
2019,17,0,2,31,6%,Roadster,1-May,100,Baffert,Geroux,98,93,89,Quality Road,Ghost Dancing,Silver Ghost,294,384,111,7.4,6.8,"1st, Santa Anita Derby",2.6
2019,18,2,6,28,21%,Long Range Toddy,30-1,53.5,Asmussen,Court,78,95,87,Take Charge Indy,Pleasant Song,Unbridled's Song,293,356,107,7,7.2,"6th, Arkansas Derby",4.33
2019,19,1,2,25,8%,Spinoff,30-1,40,Pletcher,Franco,95,84,75,Hard Spun,Zaftig,Gone West,374,391,114,7.4,7.3,"2nd, Louisiana Derby",2.78
2019,20,1,2,15,13%,Country House,30-1,50,Mott,Prat,91,87,86,Lookin at Lucky,Quake Lake,War Chant,362,382,113,7.6,7.5,"3rd, Arkansas Derby",2.69
2019,21,AE,,,,Bodexpress,30-1,40,Delgado,Landeros,96,91,74,Bodemeister,Pled a Terre,City Zip,290,388,108,7.2,6.5,"2nd, Florida Derby",8.33
2018,1,1,6,46,13%,Firenze Fire,50-1,39,Servis,Lopez,81,79,83,Poseidon's Warrior,My Every Wish,Langfuhr,281,415,104,6.4,7.2,4th Wood Memorial,4.14
2018,2,4,12,48,25%,Free Drop Billy,30-1,44,Romans,Albarado,89,83,90,Union Rags,Trensa,Giants Causeway,229,343,116,7.2,8.1,3rd Blue Grass,1.74
2018,3,4,11,48,23%,Promises Fulfilled,30-1,52,Romans,Lanerie,47,96,76,Shackleford,Marquee Delivery,Marquetry,213,319,105,6.6,6.9,9th Florida Derby,9
2018,4,6,9,48,19%,Flameaway ,30-1,70,Casse,Lezcano,93,92,93,Scat Daddy,Vulcan Rose,Fusaichi Pegasus,306,365,113,7.2,7.2,2nd Blue Grass,3
2018,5,6,12,48,25%,Audible ,1-Aug,110,Pletcher,Castellano,99,99,84,Into Mischief,Blue Devil Bel,Gilded Time,252,400,109,6.7,6.4,1st Florida Derby,5
2018,6,1,4,48,8%,Good Magic,1-Dec,134,Brown,J Ortiz,95,89,100,Curlin,Glinda the Good,Hard Spun,329,412,114,7.5,7.4,1st Blue Grass,3.4
2018,7,2,4,48,8%,Justify,1-Mar,100,Baffert,Smith,107,101,104,Scat Daddy,Stage Magic,Ghostzapper,343,386,116,7.2,7.2,1st Santa Anita Derby,3
2018,8,4,11,48,23%,Lone Sailor,50-1,42,Amoss,Graham,95,78,72,Majestic Warrior,Ambitious,Mr. Greeley,311,393,108,7,6.9,2nd Louisiana Derby,2.71
