Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time,Dist,Track Cond
1875,Aristides,Leamington,Sarong,Volcano,Verdigris5,2:37.75,12 F,Fast 
1876,Vagrant,Virgil,Lazy,Creedmoor,Harry Hill,2:38.25,12 F,Fast 
1877,Baden-Baden,Australian,Lavender,Leonard,King William,2:38.00,12 F,Fast 
1878,Day Star,Star Davis,Squeeze-Em,Himyar,Leveller,2:37.25,12 F,Dusty 
1879,Lord Murphy,Pat Malloy,Wenonah,Falsetto,Strathmore,2:37.00,12 F,Fast 
1880,Fonso,King Alfonso,Weatherwitch,Kimball2,Bancroft,2:37.50,12 F,Very Dusty 
1881,Hindoo,Virgil,Florence,Lelex,Alfambra,2:40.00,12 F,Fast 
1882,Apollo,Lever,Rebecca T Price,Runnymede,Bengal6,2:40.25,12 F,Good 
1883,Leonatus,Longfellow,Semper Felix,Drake Carter,Lord Raglan,2:43.00,12 F,Heavy
1884,Buchanan,Buckden,Mrs Grigsby,Loftin,Audrain,2:40.25,12 F,Good 
1885,Joe Cotton,King Alfonso,Inverness,Bersan,Ten Booker,2:37.25,12 F,Good 
1886,Ben Ali,Virgil,Ulrica,Blue Wing,Free Knight,2:36.50,12 F,Fast
1887,Montrose,Duke Of Montrose,Patti,Jim Gore,Jacobin,2:39.25,12 F,Fast 
1888,Macbeth,Macduff,Agnes,Gallifet,White,2:38.25,12 F,Fast 
1889,Spokane,Hyder Ali,Interpose,Proctor Knott,Once Again,2:34.50,12 F,Fast 
1890,Riley,Longfellow,Geneva,Bill Letcher,Robespierre,2:45.00,12 F,Muddy 
1891,Kingman,Glengarry,Patricia,Balgowan,High Tariff,2:52.25,12 F,Slow 
1892,Azra,Reform,Albia,Huron,Phil Dwyer,2:41.50,12 F,Heavy 
1893,Lookout,Troubadour,Christina,Plutus,Boundless,2:39.25,12 F,Fast 
1894,Chant,Falsetto,Addie C,Pearl Song,Sigurd2,2:41.00,12 F,Fast 
1895,Halma,Hanover,Julia L,Basso,Laureate7,2:37.50,12 F,Fast 
1896,Ben Brush,Bramble,Roseville,Ben Eder,Semper Ego,2:07.75,10 F,Very Dusty 
1897,Typhoon,Top Gallant,Dolly Varden,Ornament2,Dr Catlett,2:12.50,10 F,Heavy
1898,Plaudit,Himyar,Cinderella2,Lieber Karl,Isabey,2:09.00,10 F,Good
1899,Manuel,Bob Miles,Espanita,Corsini2,Mazo,2:12.00,10 F,Fast 
1900,Lieut Gibson,G W Johnson,Sophia Hardy,Florizar,Thrive,2:06.25,10 F,Fast 
1901,His Eminence,Falsetto,Patroness,Sannazarro,Driscoll,2:07.75,10 F,Fast 
1902,Alan-A-Dale,Halma,Sudie Mcnairy,Inventor,The Rival,2:08.75,10 F,Fast 
1903,Judge Himes,Esher,Lullaby,Early6,Bourbon9,2:09.00,10 F,Fast 
1904,Elwood,Free Knight,Petticoat,Ed Tierney,Brancas,2:08.50,10 F,Fast
1905,Agile,Sir Dixon,Alpena,Rams Horn,Layson,2:10.75,10 F,Heavy 
1906,Sir Huon,Falsetto,Ignite,Lady Navarre,James Reddick,2:08.80,10 F,Fast 
1907,Pink Star,Pink Coat,Mary Malloy,Zal,Ovelando,2:12.60,10 F,Heavy
1908,Stone Street,Longstreet,Stone Nellie,Sir Cleges,Dunvegan3,2:15.20,10 F,Heavy 
1909,Wintergreen,Dick Welles,Winter,Miami,Dr Barkley,2:08.20,10 F,Slow 
1910,Donau,Woolsthorpe,Al Lone,Joe Morris,Fighting Bob,2:06.40,10 F,Fast 
1911,Meridian,Broomstick,Sue Smith,Governor Gray,Colston,2:05.00,10 F,Fast 
1912,Worth,Knight Of The Thistle,Miss Hanover,Duval,Flamma2,2:09.40,10 F,Muddy
1913,Donerail,Mcgee,Algie M,Ten Point,Gowell,2:04.80,10 F,Fast 
1914,Old Rosebud,Uncle,Ivory Bells,Hodge,Bronzewing,2:03.40,10 F,Fast 
1915,Regret,Broomstick,Jersey Lightning,Pebbles6,Sharpshooter,2:05.40,10 F,Fast 
1916,George Smith,Out Of Reach,Consuelo,Star Hawk,Franklin,2:04.00,10 F,Fast 
1917,Omar Khayyam,Marco,Lisma,Ticket,Midway,2:04.60,10 F,Fast 
1918,Exterminator,Mcgee,Fair Empress,Escoba,Viva America,2:10.80,10 F,Muddy 
1919,Sir Barton,Star Shoot,Lady Sterling,Billy Kelly,Under Fire,2:09.80,10 F,Heavy 
1920,Paul Jones,Sea King,May Florence,Upset,On Watch,2:09.00,10 F,Slow 
1921,Behave Yourself,Marathon,Miss Ringlets,Black Servant,Prudery,2:04.20,10 F,Fast 
1922,Morvich,Runnymede,Hymir,Bet Mosie,John Finn,2:04.60,10 F,Fast 
1923,Zev,The Finn,Miss Kearney,Martingale5,Vigil,2:05.40,10 F,Fast 
1924,Black Gold,Black Toney,Useeit,Chilhowee,Beau Butler,2:05.20,10 F,Fast
1925,Flying Ebony,The Finn,Princess Mary,Captain Hal,Son Of John,2:07.60,10 F,Sloppy 
1926,Bubbling Over,North Star,Beaming Beauty,Bagenbaggage,Rock Man,2:03.80,10 F,Fast 
1927,Whiskery,Whisk Broom,Prudery,Osmand,Jock2,2:06.00,10 F,Slow 
1928,Reigh Count,Sunreigh,Contessina,Misstep,Toro,2:10.80,10 F,Heavy 
1929,Clyde Van Dusen,Man O War,Uncles Lassie,Naishapur,Panchio,2:10.80,10 F,Muddy 
1930,Gallant Fox,Sir Gallahad,Marguerite,Gallant Knight,Ned O,2:07.60,10 F,Good 
1931,Twenty Grand,St Germans,Bonus,Sweep All,Mate,2:01.80,10 F,Fast 
1932,Burgoo King,Bubbling Over,Minawand,Economic,Stepenfetchit,2:05.40,10 F,Fast 
1933,Brokers Tip,Black Toney,Forteresse,Head Play,Charley O,2:06.80,10 F,Good 
1934,Cavalcade,Lancegaye,Hastily,Discovery,Agrarian,2:04.00,10 F,Fast 
1935,Omaha,Gallant Fox,Flambino,Roman Soldier,Whiskolo,2:05.00,10 F,Fast 
1936,Bold Venture,St Germans,Possible,Brevity,Indian Broom,2:03.60,10 F,Fast 
1937,War Admiral,Man O War,Brushup,Pompoon,Reaping Reward,2:03.20,10 F,Fast 
1938,Lawrin,Insco,Margaret Lawrence,Dauber,Cant Wait,2:04.80,10 F,Fast 
1939,Johnstown,Jamestown,La France,Challedon,Heather Broom,2:03.40,10 F,Fast 
1940,Gallahadion,Sir Gallahad,Countess Time,Bimelech,Dit,2:05.00,10 F,Fast
1941,Whirlaway,Blenheim,Dustwhirl,Staretor,Market Wise,2:01.40,10 F,Fast 
1942,Shut Out,Equipoise,Goose Egg,Alsab,Valdina Orphan,2:04.40,10 F,Fast 
1943,Count Fleet,Reigh Count,Quickly,Blue Swords,Slide Rule,2:04.00,10 F,Fast 
1944,Pensive,Hyperion,Penicuik,Broadcloth,Stir Up,2:04.20,10 F,Good 
1945,Hoop Jr,Sir Gallahad,One Hour,Pot O Luck,Darby Dieppe,2:07.00,10 F,Muddy 
1946,Assault,Bold Venture,Igual,Spy Song,Hampden,2:06.60,10 F,Slow 
1947,Jet Pilot,Blenheim,Black Wave,Phalanx,Faultless,2:06.80,10 F,Slow 
1948,Citation,Bull Lea,Hydroplane2,Coaltown,My Request,2:05.40,10 F,Sloppy 
1949,Ponder,Pensive,Miss Rushin,Capot,Palestinian,2:04.20,10 F,Fast 
1950,Middleground,Bold Venture,Verguenza,Hill Prince,Mr Trouble,2:01.60,10 F,Fast 
1951,Count Turf,Count Fleet,Delmarie,Royal Mustang,Ruhe,2:02.60,10 F,Fast 
1952,Hill Gail,Bull Lea,Jane Gail,Sub Fleet,Blue Man,2:01.60,10 F,Fast 
1953,Dark Star,Royal Gem,Isolde,Native Dancer,Invigorator,2:02.00,10 F,Fast 
1954,Determine,Alibhai,Koubis,Hasty Road,Hasseyampa,2:03.00,10 F,Fast 
1955,Swaps,Khaled,Iron Reward,Nashua,Summer Tan,2:01.80,10 F,Fast 
1956,Needles,Ponder,Noodle Soup,Fabius,Come On Red,2:03.40,10 F,Fast 
1957,Iron Liege,Bull Lea,Iron Maiden,Gallant Man,Round Table,2:02.20,10 F,Fast
1958,Tim Tam,Tom Fool,Two Lea,Lincoln Road,Noureddin,2:05.00,10 F,Muddy 
1959,Tomy Lee,Tudor Minstrel,Auld Alliance,Sword Dancer,First Landing,2:02.20,10 F,Fast 
1960,Venetian Way,Royal Coinage,Firefly,Bally Ache,Victoria Park,2:02.40,10 F,Good 
1961,Carry Back,Saggy,Joppy,Crozier,Bass Clef,2:04.00,10 F,Good 
1962,Decidedly,Determine,Gloire Fille,Roman Line,Ridan,2:00.40,10 F,Fast 
1963,Chateaugay,Swaps,Banquet Bell,Never Bend,Candy Spots,2:01.80,10 F,Fast 
1964,Northern Dancer,Nearctic,Natalma,Hill Rise,The Scoundrel,2:00.00,10 F,Fast
1965,Lucky Debonair,Vertex,Fresh As Fresh,Dapper Dan,Tom Rolfe,2:01.20,10 F,Fast 
1966,Kauai King,Native Dancer,Sweep In,Advocator,Blue Skyer,2:02.00,10 F,Fast 
1967,Proud Clarion,Hail To Reason,Breath Omorn,Barbs Delight,Damascus,2:00.60,10 F,Fast 
1968,Forward Pass,On-And-On,Princess Turia,Francies Hat,T V Commercial,2:02.20,10 F,Fast  
1969,Majestic Prince,Raise A Native,Gay Hostess,Arts And Letters,Dike,2:01.80,10 F,Fast 
1970,Dust Commander,Bold Commander,Dust Storm,My Dad George,High Echelon,2:03.40,10 F,Good 
1971,Canonero,Pretendre,Dixieland,Jim French,Bold Reason,2:03.20,10 F,Fast 
1972,Riva Ridge,First Landing,Iberia,No Le Hace,Hold Your Peace,2:01.80,10 F,Fast 
