,,Florida Derby,,,,Santa Anita Derby,,,,Blue Grass Stakes,,,,Wood Memorial,,
Kentucky Derby Winner,Year,1st,2nd,3rd,Year,1st,2nd,3rd,Year,1st,2nd,3rd,Year,1st,2nd,3rd
Won the KY Derby,,,,,,,,,,,,,,,,
2nd or 3rd in KY Derby,,,,,,,,,,,,,,,,
Hill Gail,1952,Sky Ship,Handsome Teddy,Sandtop,1952,Hill Gail,Windy City II,Arroz,1952,Gushing Oil,Cold Command,Smoke Screen,1952,Master Fiddle ,Tom Fool,pintor
Dark Star,1953,Money Broker,Blaze,Jamie K/Slim,1953,Chan Lea,Merryman,Correspondant,1953,Correspondent,Straight Face,Monkey Broker,1953,Native Dancer,Tahitian King,invigorator
Determine,1954,Correlation,Goyamo,Big Crest,1954,Determine,Dukes Lea,Travertine,1954,Goyamo,Hasseyampa,Amiral Porter,1954,Correlation,Fisherman,high gun
Swaps,1955,Nashua,Blue Lem,First Cabin,1955,Swaps,Jeans Joe,Blue Ruler,1955,Racing Fool,Jean's Joe,Munchausen,1955,Nashua,Summer Tan,simmy
Needles,1956,Needles,Count Chic,Pinto Lea,1956,Terrang,Social Climber,More Glory,1956,Toby B,Career Boy,Reaping Right,1956,Head Man,Golf Ace,oh johnny
Iron Liege ,1957,Gen Duke,Bold Ruler,Iron Liege,1957,Sir William,Swirling Abby,Round Table,1957,Round Table,One Eyed King,Manteau,1957,Bold Ruler,Gallant Man,promised land
Tim Tam,1958,Tim Tam,Lincoln Road,Grey Monarch,1958,Silky Sullivan,Harcall,Aliwar,1958,Pilon,Warren G,Flamingo,1958,Jewels Reward,Noureddin,martins rullah
Tomy Lee ,1959,Easy Spur,Sword Dancer,Master Palynch,1959,Silver Spoon,Royal Orbit,Fightin Indian,1959,Tomy Lee,Dunce,Scotland,1959,Manassa Mauler,First Landing,our dad
Venitian Way ,1960,Bally Ache,Venetian Way,Victoria Park,1960,Tompion,John William,Eagle Admiral,1960,Tompion,Victoria Park,Lurullah,1960,Francis S,Never Give Up,john william
Carry Back,1961,Carry Back,Crozier ,Beau Prince,1961,Four-and-Twenty,Ronnies Ace,Flutterboy,1961,Sherluck,Flutterby,Mr Consistency,1961,Globemaster,Carry Back,ambiopoise
Decidedly,1962,Ridan,Cicada,Admiral's Voyage,1962,Royal Attack,Admiral Voyage,Sir Ribot,1962,Ridan,Decidedley,Roman Line,1962,Admirals Voyage,Sunrise Country,donut king
Chateaugay,1963,Candy Spots,Sky Wonder,Cool Prince,1963,Candy Spots,Sky Gem,Round Rock,1963,Chateauguy,Get Around,Lemon Twist,1963,No Robbery,Bonjour,top gallant
Northern Dancer,1964,Northern Dancer,The Scoundrel,Dandy K,1964,Hill Rise,Knight Manner,Wil Rad,1964,Northern Dancer,Allen Adair,Royal Schuck,1964,Quadrangle,Mr. Brick,roman brother
Lucky Debonair,1965,Native Charger,Hail to All,Gallant Lad,1965,Lucky Debonair,Jacinto,Chargers Kin,1965,Lucky Debonair,Swift Ruler,Mr Pak,1965,Flag Raiser,Hail To All,bold lad
Kauai King,1966,Williamston Kid,Bold and Brave,Sky Guy,1966,Boldnesian,Saber Mountain,Exhibitionist,1966,Abes Hope,Graustark,Rehabilitate,1966,Amberoid,Advocator,buffle
Proud Clarion,1967,In Reality,Biller,Reason to Hail,1967,Ruken,Tumble Wind,Sand Devil,1967,Diplomat Way,Proud Clarion,Gentleman James,1967,Damascus,Gala Performace,dawn glory
Forward Pass,1968,Forward Pass,Iron Ruler,Perfect Tan,1968,Alley Fighter,Don B,Dewan,1968,Forward Pass,TV Commercial,Francies Hat,1968,Dancers Image,Iron Ruler,verbatim
Majestic Prince,1969,Top Knight,Arts and Letters,Al Hattab,1969,Majestic Prince,Mr Joe F,Lonnys Secret,1969,Arts and Letters,Traffic Mark,Mr Coincidence,1969,Dike,Al Hattab,reviewer
Dust Commander,1970,My Dad George,Corn off the Cob,Cassie Red,1970,Terlago,George Lewis,Aggressively,1970,Dust Commander,Corn off the Cob,Naskra,1970,Personality,Silent Screen,delaware cheif
Canonero II,1971,Eastern Fleet,Executioner,Jim French,1971,Jim French,Unconsious,Vegas Vic,1971,Impetuiously,Twist the Axe,Dynastic,1971,Good Behaving,Eastern Fleet,executioner
Riva Risge,1972,Upper Case,Spanish Riddle,Gentle Smoke,1972,Solar Salute,Quack,Royal Owl,1972,Riva Ridge,Sensitive Music,Thurloe Square,1972,Upper Case,True Knight,head of the river
Secretariat,1973,Royal and Regal,Forego,Restless Jet,1973,Sham,Lindas Cheif,Out of the East,1973,My Gallant,Our Native,Warbucks / ,1973,Angle Light,Sham,Seretariat
Cannonade,1974,Judger,Cannonade,Bucks Bid,1974,Destroyer,Aloha Mood,Agitate,1974,Judger,Big Latch,Gold and Myrrh,1974,Flip Sal,Triple Crown,Sharp Gary
Foolish Pleasure,1975,Prince Thou Art,Sylvan Place,Foolish Pleasure,1975,Avatar,Rock of Ages,Diablo,1975,Master Derby,Honey Mark,Prince Thou Art,1975,Foolish Pleasure,Bombay Duck,Media
Bold Forbes,1976,Honest Pleasure,Great Contractor,Proud Birdie,1976,An Act,Double Discount,Lifes Hope,1976,Honest Pleasure,Certain Roman,Inca Roca,1976,Bold Forbes,On the Sly,Sonkisser
Seattle Slew,1977,Coined Silver,Nearly on Time,Fort Prevei,1977,Habitony,For the Moment,Steves Friend,1977,For the Moment,Run Dusty Run,Western Wind,1977,Seattle Slew,Sanhedrin,Catalan
,1977,Ruthie's Native,For the Moment,Sir Sir,1977,XXXXXXXX,XXXXXXX,XXXXXXX,1977,XXXXX,XXXXX,XXXXX,,XXXXXXXX,XXXXXXX,XXXXXXX
Affirmed,1978,Alydar,Believe It,Dr Valeri,1978,Affirmed,Balzac,Think Snow,1978,Alydar,Raymond Earl,Go Forth,1978,Believe It,Darby Creek Road,track Reward
Spectacular Bid,1979,Spectacular Bid,Lot o' Gold,Fantasy 'n Reality,1979,Flying Paster,Beaus Eagle,Switch Partners,1979,Spectacular Bid,Lot o' Gold,Bishops Choice,1979,Instrumental Landing,Screen King,Czarich
Genuine Risk,1980,Plugged Nickle,Naked Sky,Lord Gallant,1980,Codex,Rumbo,Vics Gold,1980,Rockhill Native,Super Moment,Gold Stage,1980,Plugged Nickle,Colonel Moran,Genuine Risk
Pleasant Colony,1981,Lord Avie,Akureyri,Linneieur,1981,Spendid Spruce,Johnlee n Harold,Hoedowns Day,1981,Proud Appeal,Law Me,Golden Derby,1981,Pleasant Colony,Highland Blade,Cure the Blues
Gato del Sol,1982,Timely Writer,Star Gallant,Our Escapade,1982,Muttering,Prince Spellbound,Journey at Sea,1982,Linkage,Gato Del Sol,Wavering Monarch,1982,Air Forbes One,Shimatoree,Laser Light
Sunnys Halo,1983,Croeso,Copelan,Law Talk,1983,Marfa,My Habitony,Naevus,1983,Play Fellow,Desert Wine,Copelan,1983,Bounding Basque,Country Pine,Aztec Red
Swale,1984,Swale,Dr. Carter,Darn that Alarm,1984,Might Adversary,Precisionist,Prince True,1984,Taylor Special,Silent King,Charmed Rook,1984,Leroy S.,Rajas Shark,Bear Hunt
Spend A Buck,1985,Proud Truth,Irish Sur,Do it Again Dan,1985,Skywalker,Fast Account,Nostalgias Star,1985,Cheifs Crown,Floating Reserve,Banner Bob,1985,Eternal Prince,Proud Truth,Rhoman Rule
Fedinand,1986,Snow Cheif,Badger Land,Mogambo,1986,Snow Cheif,Icy Groom,Ferdinand,1986,Bachelor Beau,Bolshoi Bay,Bold Arrangement,1986,Broad Brush,Mogambo,Groovy
Alysheba,1987,Cryptoclearance,No More Flowers,Talinum,1987,Temperate Sil,Masterful Advocate,Something Lucky,1987,War,Leo Castelli,Alysheba,1987,Gulch,Gone West,Shawlit Won
Winning Colors,1988,Brian's Time,Forty Niner,Notebook,1988,Winning Colors,Lively One,Mi Perferido,1988,Granacus,Intensive Command,Regal Classic,1988,Private Terms,Seeking the Gold,Cherokee Colony
Sunday Silence,1989,Merceded Won,Western Playboy,Big Stanley,1989,Sunday Silence,Flying Continental,Music Merci,1989,Western Playboy,Dispersal,Tricky Creek,1989,Easy Goer,Rock Point,Triple Buck
Unbridled,1990,Unbridled,Slavic,Run Turn,1990,Mister Frisky,Video Ranger,Warcraft,1990,Summer Squall,Land Rush,Unbridled,1990,Thirty Six Red,Burnt Hills,Champagneforashley
Strike The Gold,1991,Fly So Free,Strike the Gold,Hansel,1991,Dinard,Best Pal,Sea Cadet,1991,Strike the Gold,Fly so Free,Nowork all Play,1991,Cahill Road,Lost Mountain,Happy Jazz Band
Lil E. Tee,1992,Technology,Dance Floor,Pistols and Roses,1992,AP Indy,Bertrando,Casual Lies,1992,Pistols and Roses,Conte di Savoya,Ecstatic Ride,1992,Devil His Due,West by West,Rokeby
Sea Hero,1993,Bull inthe Heather,Storm Tower,Wallenda,1993,Personal Hope,Union City,Eliza,1993,Prarie Bayou,Wallenda,Dixieland Heat,1993,Storm Tower,TossoftheCoin,Marked Tree
Go for Gin,1994,Holy Bull,Ride the Rails,Halos Image,1994,Brocco,Tabasco Cat,Strodes Creek,1994,Holy Bull,Valiant Nature,Mahogany Hall,1994,Irgun,Go for Gin,Shiprock
Thunder Gulch,1995,Thunder Gulch,Suave Prospect,Mecke,1995,Larry the Legend,Afternoon Deelites,Jumron,1995,Wild Syn,Suave Prospect,Tejano Run,1995,Talkin Man,Is Svelkatas,Candy Cone
Grindstone,1996,Unbridled's Song,Editors Note,Skip Away,1996,Cavonnier,Honour and Glory,Corker,1996,Skip Away,Louis Quatorze,Editors Note,1996,Unbridled's Song,In Contention,Romano Gucci
Silver Charm,1997,Captain Bodgit,Pulpit,Frisk me Now,1997,Free House,Silver Charm,Hello,1997,Pulpit,Acceptable,Stolen Gold,1997,Captain Bodgit,Accelerator,Smokin Mel
Real Queit,1998,Cape Town,Lils Lad,Halory Hunter,1998,Indian Charlie,Real Queit,Artax,1998,Halory Hunter,Lils Lad,Cape Town,1998,Coronados Quest,Dice Dancer,Parade Ground
Charismatic,1999,Vicar,Wondertross,Cat Thief,1999,General Challenge,Prime Timber,Desert Hero,1999,Menifee,Cat Thief,Vicar,1999,Adonis,Best of Luck,Cliquot
