DATE,TRK,GRD,DIST,POINTS (LEADERS),RACE (CHART),REPLAY,WINNER,BSF,TFUS,TIME,MRGN,ODDS,JOCKEY,TRAINER,SIRE,BR-SIRE,PLACED,,,
1/2/17,AQU,G3,8*,10-4-2-1 (PDF),Jerome Stakes (PDF),Video,El Areeb,91,121,01:46.2,11 1/4,2.8,Trevor McCarthy,Cathal Lynch,Exchange Rate,A.P. Indy,"Bonus Points, True Timber, Win With Pride",,,
1/7/17,SA,G3,8,10-4-2-1 (PDF),Sham Stakes (PDF),Video,Gormley,94,117,01:35.9,Head,1.6,Victor Espinoza,John Shirreffs,Malibu Moon,Bernstein,"American Anthem, Big Hit, Bird Is the Word",,,
1/16/17,OP,---,8,10-4-2-1 (PDF),Smarty Jones Stakes (PDF),Video,Uncontested,96,111,01:36.3,5 1/4,1.20**,Channing Hill,Wayne Catalano,Tiz Wonderful,Lil E. Tee,"Petrov, Rowdy the Warrior, Warrior's Club",,,
1/21/17,FG,G3,8*,10-4-2-1 (PDF),Lecomte Stakes (PDF),Video,Guest Suite,82,103,01:43.2,1 1/4,2.80**,Robby Albarado,Neil Howard,Quality Road,Ghostzapper,"Untrapped, Takeoff, Arklow",,,
2/4/17,AQU,G3,8.5,10-4-2-1 (PDF),Withers Stakes (PDF),Video,El Areeb,92,109,01:44.5,4 1/4,0.55**,Trevor McCarthy,Cathal Lynch,Exchange Rate,A.P. Indy,"True Timber, J Boys Echo, Bonus Points",,,
2/4/17,GP,G3,8.5,10-4-2-1 (PDF),Holy Bull Stakes (PDF),Video,Irish War Cry,97,118,01:42.5,3 3/4,4.4,Joel Rosario,Graham Motion,Curlin,Polish Numbers,"Gunnevera, Classic Empire, Talk Logistics",,,
2/4/17,SA,G3,8.5,10-4-2-1 (PDF),Robert B. Lewis Stakes (PDF),Video,Royal Mo,93,114,01:43.5,3 1/2,1.5,Victor Espinoza,John Shirreffs,Uncle Mo,Saint Ballado,"Irap, Sheer Flattery, Term of Art",,,
2/11/17,TAM,G3,8.5,10-4-2-1 (PDF),Sam F. Davis Stakes (PDF),Video,McCraken,95,116,01:42.4,1 1/2,1.50**,Brian Hernandez,Ian Wilkes,Ghostzapper,Seeking the Gold,"Tapwrit, State of Honor, Wild Shot",,,
2/18/17,GG,G3,9,10-4-2-1 (PDF),El Camino Real Derby (PDF),Video,Zakaroff,77,105,01:51.3,2-Jan,48.8,Kyle Frey,Steven Specht,Slew's Tiznow,Mr. Greeley,"DQ-Ann Arbor Eddie, More Power to Him, Tribal Storm",,,
2/20/17,OP,G3,8,10-4-2-1 (PDF),Southwest Stakes (PDF),Video,One Liner,102,124,01:41.8,3 1/2,3.4,John Velazquez,Todd Pletcher,Into Mischief,Cherokee Run,"Petrov, Lookin at Lee, Silver Dust",,,
2/25/17,FG,G2,8.5,50-20-10-5 (PDF),Risen Star Stakes (PDF),Video,Girvin,93,113,01:43.1,2,8.1,Brian Hernandez,Joe Sharp,Tale of Ekati,Malibu Moon,"Untrapped, Local Hero, Guest Suite",,,
3/4/17,AQU,G3,8.5,50-20-10-5 (PDF),Gotham Stakes (PDF),Video,J Boys Echo,102,122,01:46.3,3 1/2,6.4,Robby Albarado,Dale Romans,Mineshaft,Menifee,"Cloud Computing, El Areeb**, Action Everyday",,,
3/4/17,GP,G2,8.5,50-20-10-5 (PDF),Fountain of Youth (PDF),Video,Gunnevera,97,119,01:44.3,5 3/4,4.2,Javier Castellano,Antonio Sano,Dialed In,Unbridled,"Practical Joke, Three Rules, Talk Logistics",,,
