newdist,category,horse_name,wrace,life_win,horse_weight,lspedrat,aversprat,jock_per_win,jock_num_win,jockey_weight,postpos,result,winner
FALSE,TCab 3a y+,Star Fan,823591.06,12.12,492.00,58.54,57.40,13.24,174.00,59.00,5.00,1.00,TRUE
FALSE,TCab 3a y+,Alblack,841988.48,21.88,546.00,61.02,60.16,17.97,140.00,59.00,6.00,2.00,FALSE
TRUE,TCab 3a y+,Sub Chopper,578682.68,30.77,404.00,59.68,56.62,15.30,140.00,59.00,1.00,3.00,FALSE
FALSE,TCab 3a y+,Relincho Alegre,554785.85,26.09,424.00,61.94,60.64,12.76,179.00,59.00,7.00,4.00,FALSE
FALSE,TCab 3a y+,Roar Luminozo,165277.80,5.56,490.00,60.89,56.69,9.29,47.00,59.00,2.00,5.00,FALSE
TRUE,TCab 3a y+,Universitaria,364157.04,21.43,416.00,61.63,60.35,11.54,147.00,57.00,3.00,6.00,FALSE
TRUE,TCab 3a y+,Grand Black,183374.98,21.43,454.00,58.27,58.34,7.81,72.00,59.00,8.00,7.00,FALSE
TRUE,TCab 3a y+,Papillote,253024.53,30.77,488.00,61.11,58.74,12.12,52.00,59.00,4.00,8.00,FALSE
FALSE,Clas Pllos 3a,El Danzarín,1020681.47,75.00,482.00,61.30,61.01,17.97,140.00,56.00,4.00,1.00,TRUE
FALSE,Clas Pllos 3a,El Gorrión,829468.68,14.29,506.00,59.80,59.33,15.46,158.00,56.00,2.00,2.00,FALSE
FALSE,Clas Pllos 3a,Gipsy Track,317828.51,11.11,462.00,60.22,59.68,11.54,147.00,56.00,1.00,3.00,FALSE
FALSE,Clas Pllos 3a,Ethanol,1182663.33,42.86,488.00,57.51,60.09,12.61,99.00,56.00,3.00,4.00,FALSE
FALSE,TCab 4a y+ g de 2 y 3,Benizi,1212312.97,35.71,458.00,58.71,59.67,10.25,54.00,53.00,6.00,1.00,TRUE
FALSE,TCab 4a y+ g de 2 y 3,Papa Toro,974547.25,45.46,522.00,59.89,59.62,13.24,174.00,54.00,5.00,2.00,FALSE
FALSE,TCab 4a y+ g de 2 y 3,El Baluarte,978743.96,26.67,418.00,58.55,58.90,6.88,43.00,57.00,7.00,3.00,FALSE
FALSE,TCab 4a y+ g de 2 y 3,Onda Maior,833434.48,31.25,456.00,60.23,59.70,7.81,72.00,56.00,2.00,4.00,FALSE
FALSE,TCab 4a y+ g de 2 y 3,Sweat Mon,688551.97,70.00,498.00,62.32,60.74,12.61,99.00,61.00,1.00,5.00,FALSE
